,BUTCHERY,HYENA,TRAMPLE,WOLF
JH_Butchery_17.23.1,0.521,0.069,0.403,0.007
JH_Butchery_17.24.2,0.218,0.161,0.291,0.330
JH_Butchery_17.24.3,0.285,0.107,0.590,0.017
JH_Butchery_17.25.1,0.035,0.227,0.716,0.022
JH_Butchery_17.30.1,0.276,0.034,0.667,0.024
JH_Butchery_17.31.1,0.241,0.152,0.540,0.067
JH_Butchery_17.31.2,0.602,0.005,0.391,0.002
JH_Butchery_17.31.3,0.296,0.040,0.659,0.005
JH_Butchery_17.31.4,0.145,0.193,0.636,0.026
JH_Butchery_17.31.5,0.213,0.041,0.737,0.009
JH_Butchery_17.31.6,0.153,0.041,0.761,0.046
JH_Butchery_17.33.1,0.487,0.095,0.373,0.045
JH_Butchery_17.34.2,0.505,0.074,0.421,0.001
JH_Butchery_17.35.1,0.787,0.020,0.188,0.005
JH_Butchery_17.5.1a,0.936,0.000,0.064,0.000
JH_Butchery_17.5.1b,0.261,0.010,0.679,0.050
JH_Butchery_17.7.1,0.236,0.076,0.685,0.003
JH_Butchery_17.7.10,0.608,0.009,0.382,0.001
JH_Butchery_17.7.12,0.953,0.002,0.045,0.000
JH_Butchery_17.7.13,0.371,0.070,0.558,0.001
JH_Butchery_17.7.2,0.556,0.027,0.410,0.007
JH_Butchery_17.7.3,0.258,0.101,0.636,0.006
JH_Butchery_17.7.4,0.886,0.018,0.080,0.017
JH_Butchery_17.7.6,0.894,0.008,0.097,0.001
JH_Butchery_17.7.7,0.398,0.026,0.571,0.004
JH_Butchery_17.7.9,0.175,0.013,0.811,0.000
JH_Butchery_17.8.1,0.662,0.128,0.161,0.049
JH_Butchery_17.8.2,0.885,0.003,0.091,0.021
JH_Butchery_17.8.3a,0.463,0.033,0.497,0.007
JH_Butchery_17.8.3b,0.426,0.064,0.492,0.018
JH_Butchery_17.8.4,0.158,0.270,0.474,0.098
JH_Butchery_17.8.5,0.245,0.201,0.472,0.083
JH_Butchery_17.8.6,0.696,0.008,0.296,0.000
JH_Butchery_17.8.7,0.236,0.234,0.519,0.011
JH_Butchery_17.8.8.1,0.239,0.218,0.513,0.031
JH_Butchery_17.8.8.2,0.230,0.523,0.224,0.022
JH_Butchery_17.9.1,0.410,0.232,0.351,0.006
JH_Butchery_18.1.1,0.405,0.355,0.197,0.042
JH_Butchery_18.1.3,0.507,0.058,0.412,0.023
JH_Butchery_18.1.4,0.348,0.131,0.455,0.066
JH_Butchery_18.1.6,0.290,0.137,0.562,0.011
JH_Butchery_18.2.1,0.341,0.230,0.350,0.079
JH_Butchery_18.2.2,0.179,0.265,0.256,0.299
JH_Butchery_18.2.3,0.506,0.122,0.327,0.045
JH_Butchery_18.2.4,0.836,0.007,0.156,0.000
JH_Butchery_18.20.1,0.975,0.002,0.023,0.000
JH_Butchery_18.20.4,0.931,0.003,0.066,0.000
JH_Butchery_18.20.5,0.404,0.249,0.312,0.034
JH_Butchery_18.20.6,0.425,0.025,0.548,0.002
JH_Butchery_18.3.1,0.735,0.005,0.259,0.001
JH_Butchery_18.30.1,0.545,0.015,0.401,0.040
JH_Butchery_18.32.1,0.956,0.000,0.008,0.036
JH_Butchery_18.34.1,0.837,0.007,0.132,0.023
JH_Butchery_18.4.1,0.296,0.127,0.529,0.048
JH_Butchery_18.8.1,0.297,0.106,0.543,0.054
JH_Butchery_18.8.3,0.923,0.002,0.075,0.000
JH_Butchery_18.8.3b,0.505,0.026,0.437,0.031
JH_Butchery_R1.11.10,0.256,0.492,0.169,0.083
JH_Butchery_R1.4.1,0.312,0.369,0.199,0.120
JH_Butchery_R1.4.2,0.356,0.137,0.492,0.014
JH_Butchery_R1.4.3,0.168,0.308,0.486,0.038
JH_Butchery_R1.7.10,0.719,0.182,0.080,0.019
JH_Butchery_R1.7.11,0.333,0.432,0.234,0.001
JH_Butchery_R1.7.8,0.271,0.214,0.368,0.148
JH_Trampling_2.200.2,0.287,0.081,0.530,0.103
JH_Trampling_2.200.3,0.326,0.036,0.604,0.034
JH_Trampling_2.200.6,0.153,0.221,0.354,0.273
JH_Trampling_2.200.7,0.460,0.187,0.305,0.047
JH_Trampling_2.202.1,0.367,0.154,0.448,0.030
JH_Trampling_2.202.6,0.221,0.403,0.205,0.171
JH_Trampling_2.203.1,0.361,0.180,0.458,0.001
JH_Trampling_2.203.3,0.161,0.228,0.567,0.043
JH_Trampling_2.204.3,0.208,0.171,0.587,0.035
JH_Trampling_2.204.7,0.132,0.167,0.431,0.269
JH_Trampling_2.204.8,0.101,0.124,0.684,0.091
JH_Trampling_4.400.2,0.732,0.149,0.119,0.000
JH_Trampling_4.401.12,0.121,0.254,0.571,0.054
JH_Trampling_4.402.1,0.283,0.167,0.437,0.113
JH_Trampling_4.402.2,0.021,0.275,0.227,0.477
JH_Trampling_4.402.3,0.616,0.009,0.375,0.000
JH_Trampling_4.402.4,0.298,0.083,0.604,0.015
JH_Trampling_4.402.8,0.323,0.337,0.232,0.108
JH_Trampling_4.402.9,0.194,0.234,0.514,0.059
JH_Trampling_4.403.1,0.251,0.066,0.649,0.034
JH_Trampling_4.403.2,0.494,0.067,0.402,0.036
JH_Trampling_4.403.7,0.387,0.359,0.224,0.029
JH_Trampling_4.404.1,0.309,0.223,0.415,0.053
JH_Trampling_4.404.4,0.031,0.298,0.314,0.357
JH_Trampling_4.404.7,0.185,0.134,0.678,0.003
JH_Trampling_4.405.2,0.040,0.366,0.312,0.282
JH_Trampling_4.405.8,0.082,0.406,0.346,0.166
JH_Trampling_4.405.9,0.291,0.119,0.502,0.088
JH_Trampling_4.406.1,0.179,0.244,0.416,0.161
JH_Trampling_4.406.2,0.334,0.140,0.372,0.154
JH_Trampling_4.407.1,0.604,0.158,0.226,0.012
JH_Trampling_4.408.1,0.138,0.173,0.640,0.049
JH_Trampling_4.408.2,0.102,0.271,0.512,0.115
JH_Trampling_4.408.3,0.200,0.116,0.655,0.029
JH_Trampling_4.409.1,0.128,0.145,0.711,0.016
JH_Hyena_44.2.12.2,0.490,0.002,0.259,0.249
JH_Hyena_44.2.12.6,0.000,0.024,0.000,0.976
JH_Hyena_44.2.12.7,0.008,0.629,0.275,0.088
JH_Hyena_44.2.25.8,0.002,0.124,0.840,0.034
JH_Hyena_44.2.27.3,0.008,0.986,0.005,0.000
JH_Hyena_44.7.37.1,0.256,0.079,0.304,0.361
JH_Hyena_50.1.16.1,0.008,0.311,0.532,0.148
JH_Hyena_50.1.9.1,0.144,0.096,0.592,0.168
JH_Hyena_50.2.7.2,0.036,0.179,0.639,0.145
JH_Hyena_50.4.6.4,0.188,0.308,0.323,0.180
JH_Hyena_51.2.36.4,0.007,0.085,0.110,0.798
JH_Hyena_51.24.58A,0.085,0.151,0.763,0.001
JH_Hyena_51.28.52.7,0.582,0.007,0.406,0.005
JH_Hyena_80.1.54.3,0.015,0.719,0.203,0.063
JH_Hyena_80.12.101.1,0.441,0.014,0.489,0.057
JH_Hyena_80.12.101.2,0.102,0.191,0.608,0.099
JH_Hyena_80.15.90.1,0.034,0.268,0.574,0.125
JH_Hyena_80.17.92.4,0.072,0.201,0.633,0.094
JH_Hyena_80.19.93.2,0.001,0.023,0.002,0.974
JH_Hyena_80.23.81.1,0.001,0.081,0.009,0.910
JH_Hyena_80.28.77.2,0.060,0.299,0.526,0.115
JH_Hyena_80.29.78.3,0.099,0.270,0.518,0.114
JH_Hyena_80.44.55.2,0.991,0.007,0.001,0.001
JH_Hyena_80.46.60.1,0.004,0.936,0.060,0.000
JH_Hyena_80.47.58.4,0.000,0.559,0.011,0.430
JH_Hyena_80.47.58.5,0.052,0.238,0.377,0.333
JH_Hyena_80.48.56.1,0.010,0.864,0.049,0.077
JH_Hyena_80.48.56.2,0.006,0.252,0.041,0.700
JH_Hyena_80.7.84.1,0.045,0.204,0.724,0.027
JH_Hyena_81.18.41.1,0.565,0.011,0.379,0.044
JH_Hyena_81.36.1,0.006,0.111,0.351,0.532
JH_Hyena_81.36.2,0.173,0.046,0.778,0.003
